09-Jun-2016,,,,,,,,,,,,,,,
iShares MSCI EAFE ETF,,,,,,,,,,,,,,,
Inception Date,14-Aug-01,,,,,,,,,,,,,,
Fund Holdings as of,09-Jun-16,,,,,,,,,,,,,,
Total Net Assets,"$59,871,583,845",,,,,,,,,,,,,,
Number of Securities,960,,,,,,,,,,,,,,
Shares Outstanding,"1,016,400,000",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
DBK,DEUTSCHE BANK AG,Equity,0.19,16.68,"6,692,726.00","111,651,143.83","111,651,143.83",Financials,"5,750,355.00",DE0005140008,Xetra,Germany,USD,EUR,0.88
"6,981.00",MURATA MANUFACTURING CO LTD,Equity,0.19,119.85,"930,600.00","111,533,893.77","111,533,893.77",Information Technology,"6,610,403.00",JP3914400001,Tokyo Stock Exchange,Japan,USD,JPY,106.47
SSE,SSE PLC,Equity,0.18,22.38,"4,905,349.00","109,799,090.27","109,799,090.27",Utilities,"790,873.00",GB0007908733,London Stock Exchange,United Kingdom,USD,GBP,0.69
"6,501.00",HITACHI LTD,Equity,0.18,4.61,"23,716,000.00","109,419,050.39","109,419,050.39",Information Technology,"6,429,104.00",JP3788600009,Tokyo Stock Exchange,Japan,USD,JPY,106.47
BA.,BAE SYSTEMS PLC,Equity,0.18,7.02,"15,443,729.00","108,487,555.38","108,487,555.38",Industrials,"263,494.00",GB0002634946,London Stock Exchange,United Kingdom,USD,GBP,0.69
"5,108.00",BRIDGESTONE CORP,Equity,0.18,34.20,"3,133,700.00","107,169,508.29","107,169,508.29",Consumer Discretionary,"6,132,101.00",JP3830800003,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"7,270.00",FUJI HEAVY INDUSTRIES LTD,Equity,0.18,36.71,"2,879,800.00","105,708,527.69","105,708,527.69",Consumer Discretionary,"6,356,406.00",JP3814800003,Tokyo Stock Exchange,Japan,USD,JPY,106.47
SAF,SAFRAN SA,Equity,0.18,69.09,"1,528,915.00","105,625,933.68","105,625,933.68",Industrials,B058TZ6,FR0000073272,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
HEIA,HEINEKEN NV,Equity,0.18,93.44,"1,123,942.00","105,015,942.25","105,015,942.25",Consumer Staples,"7,792,559.00",NL0000009165,Nyse Euronext - Euronext Amsterdam,Netherlands,USD,EUR,0.88
"8,801.00",MITSUI FUDOSAN LTD,Equity,0.17,24.13,"4,338,000.00","104,696,294.56","104,696,294.56",Financials,"6,597,603.00",JP3893200000,Tokyo Stock Exchange,Japan,USD,JPY,106.47
VIV,VIVENDI SA,Equity,0.17,18.41,"5,684,960.00","104,657,841.04","104,657,841.04",Consumer Discretionary,"4,834,777.00",FR0000127771,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
SGO,COMPAGNIE DE SAINT GOBAIN SA,Equity,0.17,44.36,"2,320,935.00","102,961,280.17","102,961,280.17",Industrials,"7,380,482.00",FR0000125007,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
ASSA B,ASSA ABLOY B,Equity,0.17,20.78,"4,884,426.00","101,513,510.83","101,513,510.83",Industrials,BYPC1T4,SE0007100581,Nasdaq Omx Nordic,Sweden,USD,SEK,8.17
AMS,AMADEUS IT HOLDING SA,Equity,0.17,46.34,"2,174,019.00","100,752,619.14","100,752,619.14",Information Technology,B3MSM28,ES0109067019,Bolsa De Madrid,Spain,USD,EUR,0.88
"8,031.00",MITSUI LTD,Equity,0.17,12.18,"8,241,600.00","100,402,528.53","100,402,528.53",Industrials,"6,597,302.00",JP3893600001,Tokyo Stock Exchange,Japan,USD,JPY,106.47
LHN,LAFARGEHOLCIM LTD LTD,Equity,0.17,45.13,"2,219,797.00","100,189,500.14","100,189,500.14",Materials,"7,110,753.00",CH0012214059,Six Swiss Exchange Ag,Switzerland,USD,CHF,0.96
HEN3,HENKEL AG & CO KGAA PREF,Equity,0.17,117.45,"849,567.00","99,777,765.88","99,777,765.88",Consumer Staples,"5,076,705.00",DE0006048432,Xetra,Germany,USD,EUR,0.88
REL,RELX PLC,Equity,0.17,18.09,"5,494,464.00","99,374,249.52","99,374,249.52",Consumer Discretionary,B2B0DG9,GB00B2B0DG97,London Stock Exchange,United Kingdom,USD,GBP,0.69
WOW,WOOLWORTHS LTD,Equity,0.17,16.16,"6,145,149.00","99,315,977.78","99,315,977.78",Consumer Staples,"6,981,239.00",AU000000WOW2,Asx - All Markets,Australia,USD,AUD,1.34
DANSKE,DANSKE BANK,Equity,0.17,28.71,"3,458,822.00","99,308,172.82","99,308,172.82",Financials,"4,588,825.00",DK0010274414,Omx Nordic Exchange Copenhagen A/S,Denmark,USD,DKK,6.57
D05,DBS GROUP HOLDINGS LTD,Equity,0.17,11.76,"8,439,000.00","99,278,680.03","99,278,680.03",Financials,"6,175,203.00",SG1L01001701,Singapore Exchange,Singapore,USD,SGD,1.35
ARM,ARM HOLDINGS PLC,Equity,0.16,14.39,"6,852,823.00","98,608,151.76","98,608,151.76",Information Technology,"59,585.00",GB0000595859,London Stock Exchange,United Kingdom,USD,GBP,0.69
"6,752.00",PANASONIC CORP,Equity,0.16,9.03,"10,731,268.00","96,905,471.80","96,905,471.80",Consumer Discretionary,"6,572,707.00",JP3866800000,Tokyo Stock Exchange,Japan,USD,JPY,106.47
SWED A,SWEDBANK,Equity,0.16,22.02,"4,393,330.00","96,738,114.22","96,738,114.22",Financials,"4,846,523.00",SE0000242455,Nasdaq Omx Nordic,Sweden,USD,SEK,8.17
EUR,EUR CASH,Cash,0.16,113.26,"85,342,943.00","96,655,150.58","96,655,150.58",Cash and/or Derivatives,--,--,--,European Union,USD,EUR,0.88
LGEN,LEGAL & GENERAL GROUP PLC,Equity,0.16,3.34,"28,977,703.00","96,643,667.67","96,643,667.67",Financials,"560,399.00",GB0005603997,London Stock Exchange,United Kingdom,USD,GBP,0.69
"6,367.00",DAIKIN INDUSTRIES LTD,Equity,0.16,84.75,"1,137,700.00","96,421,050.11","96,421,050.11",Industrials,"6,250,724.00",JP3481800005,Tokyo Stock Exchange,Japan,USD,JPY,106.47
O39,OVERSEA-CHINESE BANKING LTD,Equity,0.16,6.47,"14,907,298.00","96,400,269.71","96,400,269.71",Financials,B0F9V20,SG1S04926220,Singapore Exchange,Singapore,USD,SGD,1.35
SAMAS,SAMPO OYJ,Equity,0.16,44.29,"2,163,246.00","95,818,884.30","95,818,884.30",Financials,"5,226,038.00",FI0009003305,Nasdaq Omx Helsinki Ltd.,Finland,USD,EUR,0.88
EOAN,E.ON N,Equity,0.16,9.86,"9,714,083.00","95,791,668.70","95,791,668.70",Utilities,"4,942,904.00",DE000ENAG999,Xetra,Germany,USD,EUR,0.88
"8,001.00",ITOCHU CORP,Equity,0.16,12.64,"7,530,600.00","95,171,392.48","95,171,392.48",Industrials,"6,467,803.00",JP3143600009,Tokyo Stock Exchange,Japan,USD,JPY,106.47
ML,MICHELIN,Equity,0.16,104.34,"898,731.00","93,775,238.57","93,775,238.57",Consumer Discretionary,"4,588,364.00",FR0000121261,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
SCA B,SVENSKA CELLULOSA B,Equity,0.16,31.66,"2,949,875.00","93,405,547.36","93,405,547.36",Consumer Staples,B1VVGZ5,SE0000112724,Nasdaq Omx Nordic,Sweden,USD,SEK,8.17
GBP,GBP CASH,Cash,0.16,144.69,"64,506,099.00","93,333,874.30","93,333,874.30",Cash and/or Derivatives,--,--,--,United Kingdom,USD,GBP,0.69
AH,KONINKLIJKE AHOLD NV,Equity,0.15,22.86,"4,054,445.00","92,686,728.11","92,686,728.11",Consumer Staples,BKWP5S5,NL0010672325,Nyse Euronext - Euronext Amsterdam,Netherlands,USD,EUR,0.88
FME,FRESENIUS MEDICAL CARE AG,Equity,0.15,86.09,"1,074,302.00","92,481,422.49","92,481,422.49",Health Care,"5,129,074.00",DE0005785802,Xetra,Germany,USD,EUR,0.88
STL,STATOIL ASA,Equity,0.15,16.94,"5,442,194.00","92,170,390.02","92,170,390.02",Energy,"7,133,608.00",NO0010096985,Oslo Bors Asa,Norway,USD,NOK,8.15
"4,528.00",ONO PHARMACEUTICAL CO LTD,Equity,0.15,46.38,"1,987,000.00","92,159,921.10","92,159,921.10",Health Care,"6,660,107.00",JP3197600004,Tokyo Stock Exchange,Japan,USD,JPY,106.47
SCG,SCENTRE GROUP,Equity,0.15,3.50,"26,038,401.00","91,020,485.50","91,020,485.50",Financials,BLZH0Z7,AU000000SCG8,Asx - All Markets,Australia,USD,AUD,1.34
SHB A,SVENSKA HANDELSBANKEN-A SHS,Equity,0.15,12.48,"7,269,717.00","90,759,125.84","90,759,125.84",Financials,BXDZ9Q1,SE0007100599,Nasdaq Omx Nordic,Sweden,USD,SEK,8.17
TSCO,TESCO PLC,Equity,0.15,2.28,"39,632,070.00","90,545,610.85","90,545,610.85",Consumer Staples,"884,709.00",GB0008847096,London Stock Exchange,United Kingdom,USD,GBP,0.69
"4,901.00",FUJIFILM HOLDINGS CORP,Equity,0.15,41.00,"2,202,200.00","90,288,855.49","90,288,855.49",Information Technology,"6,356,525.00",JP3814000000,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"6,594.00",NIDEC CORP,Equity,0.15,77.03,"1,157,500.00","89,162,236.42","89,162,236.42",Industrials,"6,640,682.00",JP3734800000,Tokyo Stock Exchange,Japan,USD,JPY,106.47
EXPN,EXPERIAN PLC,Equity,0.15,18.81,"4,733,428.00","89,034,360.65","89,034,360.65",Industrials,B19NLV4,GB00B19NLV48,London Stock Exchange,United Kingdom,USD,GBP,0.69
"8,591.00",ORIX CORP,Equity,0.15,13.73,"6,437,200.00","88,366,766.54","88,366,766.54",Financials,"6,661,144.00",JP3200450009,Tokyo Stock Exchange,Japan,USD,JPY,106.47
GIVN,GIVAUDAN SA,Equity,0.15,"1,925.45","45,676.00","87,946,842.24","87,946,842.24",Materials,"5,980,613.00",CH0010645932,Six Swiss Exchange Ag,Switzerland,USD,CHF,0.96
"6,902.00",DENSO CORP,Equity,0.15,36.93,"2,371,600.00","87,588,702.39","87,588,702.39",Consumer Discretionary,"6,640,381.00",JP3551500006,Tokyo Stock Exchange,Japan,USD,JPY,106.47
TCL,TRANSURBAN GROUP,Equity,0.15,8.84,"9,844,148.00","86,980,430.69","86,980,430.69",Industrials,"6,200,882.00",AU000000TCL6,Asx - All Markets,Australia,USD,AUD,1.34
U11,UNITED OVERSEAS BANK LTD,Equity,0.14,13.87,"6,253,600.00","86,709,677.04","86,709,677.04",Financials,"6,916,781.00",SG1M31001969,Singapore Exchange,Singapore,USD,SGD,1.35
VOLV B,VOLVO CLASS B,Equity,0.14,11.47,"7,516,813.00","86,207,681.44","86,207,681.44",Industrials,B1QH830,SE0000115446,Nasdaq Omx Nordic,Sweden,USD,SEK,8.17
ATLN,ACTELION LTD,Equity,0.14,170.87,"501,214.00","85,644,737.62","85,644,737.62",Health Care,B1YD5Q2,CH0010532478,Six Swiss Exchange Ag,Switzerland,USD,CHF,0.96
ATCO A,ATLAS COPCO AB-A SHS,Equity,0.14,26.13,"3,254,353.00","85,042,333.08","85,042,333.08",Industrials,BXC8BS7,SE0006886750,Nasdaq Omx Nordic,Sweden,USD,SEK,8.17
PNDORA,PANDORA A/S,Equity,0.14,149.19,"569,654.00","84,988,666.63","84,988,666.63",Consumer Discretionary,B44XTX8,DK0060252690,Omx Nordic Exchange Copenhagen A/S,Denmark,USD,DKK,6.57
"1,925.00",DAIWA HOUSE INDUSTRY LTD,Equity,0.14,30.28,"2,806,500.00","84,987,141.31","84,987,141.31",Financials,"6,251,363.00",JP3505000004,Tokyo Stock Exchange,Japan,USD,JPY,106.47
RNO,RENAULT PAR SA,Equity,0.14,90.12,"940,133.00","84,721,968.85","84,721,968.85",Consumer Discretionary,"4,712,798.00",FR0000131906,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
TLS,TELSTRA CORPORATION LTD,Equity,0.14,4.07,"20,720,828.00","84,298,803.56","84,298,803.56",Telecommunications,"6,087,289.00",AU000000TLS2,Asx - All Markets,Australia,USD,AUD,1.34
DB1,DEUTSCHE BOERSE AG,Equity,0.14,89.02,"943,064.00","83,950,076.67","83,950,076.67",Financials,"7,021,963.00",DE0005810055,Xetra,Germany,USD,EUR,0.88
IFX,INFINEON TECHNOLOGIES AG,Equity,0.14,15.27,"5,493,983.00","83,906,507.87","83,906,507.87",Information Technology,"5,889,505.00",DE0006231004,Xetra,Germany,USD,EUR,0.88
AKZA,AKZO NOBEL NV,Equity,0.14,69.05,"1,211,012.00","83,622,284.13","83,622,284.13",Materials,"5,458,314.00",NL0000009132,Nyse Euronext - Euronext Amsterdam,Netherlands,USD,EUR,0.88
REN,RELX NV,Equity,0.14,17.14,"4,875,296.00","83,568,152.00","83,568,152.00",Consumer Discretionary,"4,148,810.00",NL0006144495,Nyse Euronext - Euronext Amsterdam,Netherlands,USD,EUR,0.88
2.00,CLP HOLDINGS LTD,Equity,0.14,9.86,"8,470,000.00","83,549,085.43","83,549,085.43",Utilities,"6,097,017.00",HK0002007356,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.76
"1,113.00",CHEUNG KONG PROPERTY HOLDINGS LTD,Equity,0.14,6.37,"13,105,684.00","83,510,115.24","83,510,115.24",Financials,BWX52N2,KYG2103F1019,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.76
VNA,VONOVIA SE,Equity,0.14,36.47,"2,283,985.00","83,305,549.85","83,305,549.85",Financials,BBJPFY1,DE000A1ML7J1,Xetra,Germany,USD,EUR,0.88
"4,578.00",OTSUKA HOLDINGS LTD,Equity,0.14,44.57,"1,863,400.00","83,049,199.27","83,049,199.27",Health Care,B5LTM93,JP3188220002,Tokyo Stock Exchange,Japan,USD,JPY,106.47
G,ASSICURAZIONI GENERALI,Equity,0.14,14.60,"5,665,648.00","82,710,356.09","82,710,356.09",Financials,"4,056,719.00",IT0000062072,Borsa Italiana S.P.A.,Italy,USD,EUR,0.88
"6,301.00",KOMATSU LTD,Equity,0.14,18.20,"4,537,100.00","82,568,273.61","82,568,273.61",Industrials,"6,496,584.00",JP3304200003,Tokyo Stock Exchange,Japan,USD,JPY,106.47
MQG,MACQUARIE GROUP LTD DEF,Equity,0.14,55.17,"1,489,824.00","82,195,638.59","82,195,638.59",Financials,B28YTC2,AU000000MQG1,Asx - All Markets,Australia,USD,AUD,1.34
16.00,SUN HUNG KAI PROPERTIES LTD,Equity,0.14,12.12,"6,776,000.00","82,119,310.09","82,119,310.09",Financials,"6,859,927.00",HK0016000132,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.76
"4,507.00",SHIONOGI LTD,Equity,0.14,55.86,"1,455,300.00","81,291,214.01","81,291,214.01",Health Care,"6,804,682.00",JP3347200002,Tokyo Stock Exchange,Japan,USD,JPY,106.47
CNA,CENTRICA PLC,Equity,0.13,3.01,"26,435,516.00","79,520,810.50","79,520,810.50",Utilities,B033F22,GB00B033F229,London Stock Exchange,United Kingdom,USD,GBP,0.69
CAP,CAPGEMINI,Equity,0.13,99.25,"799,656.00","79,362,144.80","79,362,144.80",Information Technology,"4,163,437.00",FR0000125338,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
"9,735.00",SECOM LTD,Equity,0.13,77.61,"1,016,400.00","78,885,203.59","78,885,203.59",Industrials,"6,791,591.00",JP3421800008,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"7,974.00",NINTENDO CO LTD,Equity,0.13,152.96,"513,400.00","78,530,211.81","78,530,211.81",Information Technology,"6,639,550.00",JP3756600007,Tokyo Stock Exchange,Japan,USD,JPY,106.47
RR,ROLLS-ROYCE HOLDINGS PLC,Equity,0.13,8.67,"8,959,688.00","77,717,816.54","77,717,816.54",Industrials,B63H849,GB00B63H8491,London Stock Exchange,United Kingdom,USD,GBP,0.69
KNEBV,KONE,Equity,0.13,46.97,"1,646,831.00","77,346,462.08","77,346,462.08",Industrials,B09M9D2,FI0009013403,Nasdaq Omx Helsinki Ltd.,Finland,USD,EUR,0.88
WFD,WESTFIELD CORPORATION UNITS CORP,Equity,0.13,8.00,"9,644,553.00","77,111,215.16","77,111,215.16",Financials,BMMVVX4,AU000000WFD0,Asx - All Markets,Australia,USD,AUD,1.34
INVE B,INVESTOR B,Equity,0.13,34.71,"2,211,881.00","76,778,674.88","76,778,674.88",Financials,"5,679,591.00",SE0000107419,Nasdaq Omx Nordic,Sweden,USD,SEK,8.17
"6,971.00",KYOCERA CORP,Equity,0.13,49.98,"1,531,200.00","76,527,640.07","76,527,640.07",Information Technology,"6,499,260.00",JP3249600002,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"5,401.00",NIPPON STEEL & SUMITOMO METAL CORP,Equity,0.13,19.80,"3,807,135.00","75,363,142.93","75,363,142.93",Materials,"6,642,569.00",JP3381000003,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"6,326.00",KUBOTA CORP,Equity,0.12,13.89,"5,387,000.00","74,835,607.95","74,835,607.95",Industrials,"6,497,509.00",JP3266400005,Tokyo Stock Exchange,Japan,USD,JPY,106.47
VWS,VESTAS WIND SYSTEMS A/S,Equity,0.12,70.69,"1,050,071.00","74,229,349.93","74,229,349.93",Industrials,"5,964,651.00",DK0010268606,Omx Nordic Exchange Copenhagen A/S,Denmark,USD,DKK,6.57
ABF,ASSOCIATED BRITISH FOODS PLC,Equity,0.12,42.54,"1,738,126.00","73,937,898.58","73,937,898.58",Consumer Staples,"673,123.00",GB0006731235,London Stock Exchange,United Kingdom,USD,GBP,0.69
"4,543.00",TERUMO CORP,Equity,0.12,43.63,"1,694,000.00","73,908,138.82","73,908,138.82",Health Care,"6,885,074.00",JP3546800008,Tokyo Stock Exchange,Japan,USD,JPY,106.47
KBC,KBC GROEP,Equity,0.12,60.25,"1,223,888.00","73,741,283.65","73,741,283.65",Financials,"4,497,749.00",BE0003565737,Nyse Euronext - Euronext Brussels,Belgium,USD,EUR,0.88
SN,SMITH & NEPHEW PLC,Equity,0.12,16.83,"4,358,727.00","73,346,247.58","73,346,247.58",Health Care,"922,320.00",GB0009223206,London Stock Exchange,United Kingdom,USD,GBP,0.69
"8,604.00",NOMURA HOLDINGS INC,Equity,0.12,4.12,"17,787,000.00","73,343,286.53","73,343,286.53",Financials,"6,643,108.00",JP3762600009,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"4,523.00",EISAI LTD,Equity,0.12,59.62,"1,227,100.00","73,154,592.59","73,154,592.59",Health Care,"6,307,200.00",JP3160400002,Tokyo Stock Exchange,Japan,USD,JPY,106.47
WPL,WOODSIDE PETROLEUM LTD,Equity,0.12,20.34,"3,585,979.00","72,944,415.95","72,944,415.95",Energy,"6,979,728.00",AU000000WPL2,Asx - All Markets,Australia,USD,AUD,1.34
LR,LEGRAND SA,Equity,0.12,56.17,"1,298,123.00","72,914,033.56","72,914,033.56",Industrials,B11ZRK9,FR0010307819,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
CA,CARREFOUR SA,Equity,0.12,27.07,"2,692,789.00","72,888,264.55","72,888,264.55",Consumer Staples,"5,641,567.00",FR0000120172,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
"9,983.00",FAST RETAILING LTD,Equity,0.12,281.22,"256,300.00","72,076,475.84","72,076,475.84",Consumer Discretionary,"6,332,439.00",JP3802300008,Tokyo Stock Exchange,Japan,USD,JPY,106.47
BXB,BRAMBLES LTD,Equity,0.12,9.38,"7,674,669.00","71,978,322.22","71,978,322.22",Industrials,B1FJ0C0,AU000000BXB1,Asx - All Markets,Australia,USD,AUD,1.34
GEBN,GEBERIT AG,Equity,0.12,391.41,"183,859.00","71,965,132.98","71,965,132.98",Industrials,B1WGG93,CH0030170408,Six Swiss Exchange Ag,Switzerland,USD,CHF,0.96
"7,741.00",HOYA CORP,Equity,0.12,35.07,"2,032,800.00","71,295,498.05","71,295,498.05",Health Care,"6,441,506.00",JP3837800006,Tokyo Stock Exchange,Japan,USD,JPY,106.47
KRZ,KERRY GROUP PLC,Equity,0.12,90.39,"783,782.00","70,845,126.59","70,845,126.59",Consumer Staples,"4,519,579.00",IE0004906560,Irish Stock Exchange - All Market,Ireland,USD,EUR,0.88
UCG,UNICREDIT,Equity,0.12,2.88,"24,594,907.00","70,807,313.21","70,807,313.21",Financials,B5M1SM3,IT0004781412,Borsa Italiana S.P.A.,Italy,USD,EUR,0.88
823.00,LINK REAL ESTATE INVESTMENT TRUST,Equity,0.12,6.40,"11,011,258.00","70,448,100.26","70,448,100.26",Financials,B0PB4M7,HK0823032773,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.76
REP,REPSOL SA,Equity,0.12,13.20,"5,317,964.00","70,196,434.79","70,196,434.79",Energy,"5,669,354.00",ES0173516115,Bolsa De Madrid,Spain,USD,EUR,0.88
SKY,SKY PLC,Equity,0.12,13.82,"5,058,103.00","69,892,336.15","69,892,336.15",Consumer Discretionary,"141,192.00",GB0001411924,London Stock Exchange,United Kingdom,USD,GBP,0.69
SEB A,SKANDINAVISKA ENSKILDA BANKEN,Equity,0.12,9.53,"7,320,176.00","69,796,172.68","69,796,172.68",Financials,"4,813,345.00",SE0000148884,Nasdaq Omx Nordic,Sweden,USD,SEK,8.17
RIO,RIO TINTO LTD,Equity,0.12,33.80,"2,049,570.00","69,267,267.72","69,267,267.72",Materials,"6,220,103.00",AU000000RIO1,Asx - All Markets,Australia,USD,AUD,1.34
"4,568.00",DAIICHI SANKYO LTD,Equity,0.12,23.37,"2,947,995.00","68,906,077.65","68,906,077.65",Health Care,B0J7D91,JP3475350009,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"2,503.00",KIRIN HOLDINGS LTD,Equity,0.11,17.29,"3,963,800.00","68,523,682.90","68,523,682.90",Consumer Staples,"6,493,745.00",JP3258000003,Tokyo Stock Exchange,Japan,USD,JPY,106.47
3.00,HONG KONG AND CHINA GAS LTD,Equity,0.11,2.01,"33,880,942.00","68,107,222.55","68,107,222.55",Utilities,"6,436,557.00",HK0003000038,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.76
6.00,POWER ASSETS HOLDINGS LTD,Equity,0.11,9.99,"6,776,000.00","67,668,756.32","67,668,756.32",Utilities,"6,435,327.00",HK0006000050,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.76
SRG,SNAM,Equity,0.11,5.72,"11,800,046.00","67,488,917.59","67,488,917.59",Utilities,"7,251,470.00",IT0003153415,Borsa Italiana S.P.A.,Italy,USD,EUR,0.88
"4,661.00",ORIENTAL LAND LTD,Equity,0.11,66.12,"1,016,400.00","67,199,921.10","67,199,921.10",Consumer Discretionary,"6,648,891.00",JP3198900007,Tokyo Stock Exchange,Japan,USD,JPY,106.47
WOS,WOLSELEY PLC,Equity,0.11,53.48,"1,246,450.00","66,656,935.14","66,656,935.14",Industrials,BFNWV48,JE00BFNWV485,London Stock Exchange,United Kingdom,USD,GBP,0.69
J36,JARDINE MATHESON HOLDINGS LTD,Equity,0.11,55.42,"1,199,400.00","66,470,748.00","66,470,748.00",Industrials,"6,472,119.00",BMG507361001,Singapore Exchange,Hong Kong,USD,USD,1.00
"8,725.00",MS&AD INSURANCE GROUP HOLDINGS INC,Equity,0.11,27.52,"2,401,288.00","66,074,044.95","66,074,044.95",Financials,B2Q4CS1,JP3890310000,Tokyo Stock Exchange,Japan,USD,JPY,106.47
AAL,ANGLO AMERICAN PLC,Equity,0.11,9.64,"6,832,639.00","65,841,728.16","65,841,728.16",Materials,B1XZS82,GB00B1XZS820,London Stock Exchange,United Kingdom,USD,GBP,0.69
11.00,HANG SENG BANK LTD,Equity,0.11,18.03,"3,632,800.00","65,489,594.03","65,489,594.03",Financials,"6,408,374.00",HK0011000095,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.76
"2,802.00",AJINOMOTO INC,Equity,0.11,23.41,"2,787,600.00","65,248,665.76","65,248,665.76",Consumer Staples,"6,010,906.00",JP3119600009,Tokyo Stock Exchange,Japan,USD,JPY,106.47
LAND,LAND SECURITIES GROUP REIT PLC,Equity,0.11,16.86,"3,870,880.00","65,249,043.57","65,249,043.57",Financials,"3,180,943.00",GB0031809436,London Stock Exchange,United Kingdom,USD,GBP,0.69
"6,273.00",SMC (JAPAN) CORP,Equity,0.11,253.75,"257,100.00","65,237,932.65","65,237,932.65",Industrials,"6,763,965.00",JP3162600005,Tokyo Stock Exchange,Japan,USD,JPY,106.47
PUB,PUBLICIS GROUPE SA,Equity,0.11,70.64,"922,822.00","65,185,510.04","65,185,510.04",Consumer Discretionary,"4,380,429.00",FR0000130577,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
KPN,KONINKLIJKE KPN NV NV,Equity,0.11,3.93,"16,528,057.00","64,879,537.41","64,879,537.41",Telecommunications,"5,956,078.00",NL0000009082,Nyse Euronext - Euronext Amsterdam,Netherlands,USD,EUR,0.88
OML,OLD MUTUAL PLC,Equity,0.11,2.70,"24,036,353.00","64,861,341.43","64,861,341.43",Financials,B77J086,GB00B77J0862,London Stock Exchange,United Kingdom,USD,GBP,0.69
"8,750.00",THE DAI-ICHI LIFE INSURANCE CO LTD,Equity,0.11,12.32,"5,261,652.00","64,840,909.44","64,840,909.44",Financials,B601QS4,JP3476480003,Tokyo Stock Exchange,Japan,USD,JPY,106.47
KER,KERING SA,Equity,0.11,174.58,"368,678.00","64,364,757.35","64,364,757.35",Consumer Discretionary,"5,505,072.00",FR0000121485,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
MRK,MERCK KGAA,Equity,0.11,102.17,"623,590.00","63,710,528.74","63,710,528.74",Health Care,"4,741,844.00",DE0006599905,Xetra,Germany,USD,EUR,0.88
"8,035.00",TOKYO ELECTRON LTD,Equity,0.11,75.04,"847,000.00","63,557,817.12","63,557,817.12",Information Technology,"6,895,675.00",JP3571400005,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"2,502.00",ASAHI GROUP HOLDINGS LTD,Equity,0.10,33.55,"1,863,400.00","62,518,807.12","62,518,807.12",Consumer Staples,"6,054,409.00",JP3116000005,Tokyo Stock Exchange,Japan,USD,JPY,106.47
AMC,AMCOR LTD,Equity,0.10,11.04,"5,656,566.00","62,475,003.79","62,475,003.79",Materials,"6,066,608.00",AU000000AMC4,Asx - All Markets,Australia,USD,AUD,1.34
NCM,NEWCREST MINING LTD,Equity,0.10,16.38,"3,763,655.00","61,666,781.49","61,666,781.49",Materials,"6,637,101.00",AU000000NCM7,Asx - All Markets,Australia,USD,AUD,1.34
"3,402.00",TORAY INDUSTRIES INC,Equity,0.10,8.71,"7,045,000.00","61,361,278.35","61,361,278.35",Materials,"6,897,143.00",JP3621000003,Tokyo Stock Exchange,Japan,USD,JPY,106.47
DNB,DNB,Equity,0.10,12.90,"4,753,361.00","61,311,484.88","61,311,484.88",Financials,"4,263,304.00",NO0010031479,Oslo Bors Asa,Norway,USD,NOK,8.15
"7,011.00",MITSUBISHI HEAVY INDUSTRIES LTD,Equity,0.10,4.01,"15,246,000.00","61,075,649.27","61,075,649.27",Industrials,"6,597,067.00",JP3900000005,Tokyo Stock Exchange,Japan,USD,JPY,106.47
SGSN,SGS SA,Equity,0.10,"2,241.69","27,104.00","60,758,824.20","60,758,824.20",Industrials,"4,824,778.00",CH0002497458,Six Swiss Exchange Ag,Switzerland,USD,CHF,0.96
FR,VALEO SA,Equity,0.10,51.57,"1,165,626.00","60,112,107.09","60,112,107.09",Consumer Discretionary,BDC5ST8,FR0013176526,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
