iShares Nasdaq Biotechnology ETF
Inception Date,"Feb 5, 2001"
Fund Holdings as of,"08-Jun-2016"
Total Net Assets,"$6,783,203,690"
Shares Outstanding,"24,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"ICPT","INTERCEPT PHARMACEUTICALS INC","Equity","0.7499","161.10","321,565","$51,804,122","51,804,121.50","Health Care","B7N59F8","US45845P1084","NASDAQ"
"AKRX","AKORN INC.","Equity","0.6837","31.32","1,507,958","$47,229,245","47,229,244.56","Health Care","2012100","US0097281069","NASDAQ"
"CBPO","CHINA BIOLOGIC PRODUCTS INC","Equity","0.5952","117.36","350,361","$41,118,367","41,118,366.96","Health Care","B188VY3","US16938C1062","NASDAQ"
"HZNP","HORIZON PHARMA PLC","Equity","0.5659","18.54","2,108,557","$39,092,647","39,092,646.78","Health Care","BQPVQZ6","IE00BQPVQZ61","NASDAQ"
"PRAH","PRA HEALTH SCIENCES INC","Equity","0.5429","47.21","794,448","$37,505,890","37,505,890.08","Health Care","BSHZ3V5","US69354M1080","NASDAQ"
"RARE","ULTRAGENYX PHARMACEUTICAL INC","Equity","0.5305","71.28","514,195","$36,651,820","36,651,819.60","Health Care","BJ62Z18","US90400D1081","NASDAQ"
"KITE","KITE PHARMA INC","Equity","0.5236","56.18","643,820","$36,169,808","36,169,807.60","Health Care","BNB7PH2","US49803L1098","NASDAQ"
"MDCO","MEDICINES CO.","Equity","0.5091","38.32","917,839","$35,171,590","35,171,590.48","Health Care","2616773","US5846881051","NASDAQ"
"GRFS","GRIFOLS ADR REPRESENTING ONE NON-V","Equity","0.5016","17.30","2,003,002","$34,651,935","34,651,934.60","Health Care","B8K7T65","US3984384087","NASDAQ"
"IONS","IONIS PHARMACEUTICALS INC","Equity","0.4964","21.57","1,589,701","$34,289,851","34,289,850.57","Health Care","BDJ0LS6","US4622221004","NASDAQ"
"AGIO","AGIOS PHARMACEUTICALS INC","Equity","0.4769","66.09","498,452","$32,942,693","32,942,692.68","Health Care","BCBVTX1","US00847X1046","NASDAQ"
"MYGN","MYRIAD GENETICS INC.","Equity","0.4728","34.79","938,898","$32,664,261","32,664,261.42","Health Care","2614153","US62855J1043","NASDAQ"
"LGND","LIGAND PHARMACEUTICALS INC.","Equity","0.4691","118.34","273,854","$32,407,882","32,407,882.36","Health Care","2501578","US53220K5048","NASDAQ"
"IPXL","IMPAX LABORATORIES INC.","Equity","0.4662","33.66","956,853","$32,207,672","32,207,671.98","Health Care","2373722","US45256B1017","NASDAQ"
"INCR","INC RESEARCH HOLDINGS INC CLASS A","Equity","0.4504","43.80","710,452","$31,117,798","31,117,797.60","Health Care","BS7K7P2","US45329R1095","NASDAQ"
"NKTR","NEKTAR THERAPEUTICS","Equity","0.4069","16.01","1,755,808","$28,110,486","28,110,486.08","Health Care","2454445","US6402681083","NASDAQ"
"OPHT","OPHTHOTECH CORP","Equity","0.3864","57.52","464,070","$26,693,306","26,693,306.40","Health Care","BCRWZD0","US6837451037","NASDAQ"
"TSRO","TESARO INC","Equity","0.3850","44.08","603,360","$26,596,109","26,596,108.80","Health Care","B8BJ9G0","US8815691071","NASDAQ"
"NVAX","NOVAVAX INC","Equity","0.3453","6.70","3,559,962","$23,851,745","23,851,745.40","Health Care","2637741","US6700021040","NASDAQ"
"PCRX","PACIRA PHARMACEUTICALS INC.","Equity","0.3319","47.04","487,375","$22,926,120","22,926,120.00","Health Care","B3X26D8","US6951271005","NASDAQ"
"BLUE","BLUEBIRD BIO INC","Equity","0.3293","46.83","485,803","$22,750,154","22,750,154.49","Health Care","BBFL7S1","US09609G1004","NASDAQ"
"PRTA","PROTHENA PLC","Equity","0.3205","49.01","451,754","$22,140,464","22,140,463.54","Health Care","B91XRN2","IE00B91XRN20","NASDAQ"
"IRWD","IRONWOOD PHARMACEUTICALS INC. CL A","Equity","0.3198","13.16","1,678,945","$22,094,916","22,094,916.20","Health Care","B3MZ6K5","US46333X1081","NASDAQ"
"ARIA","ARIAD PHARMACEUTICALS INC.","Equity","0.3193","8.80","2,506,908","$22,060,790","22,060,790.40","Health Care","2066624","US04033A1007","NASDAQ"
"EXEL","EXELIXIS INC.","Equity","0.3166","7.26","3,012,501","$21,870,757","21,870,757.26","Health Care","2576941","US30161Q1040","NASDAQ"
"RDUS","RADIUS HEALTH INC","Equity","0.3151","38.42","566,499","$21,764,892","21,764,891.58","Health Care","BM68KK1","US7504692077","NASDAQ"
"PTLA","PORTOLA PHARMACEUTICALS INC","Equity","0.2923","27.12","744,512","$20,191,165","20,191,165.44","Health Care","B93PNR2","US7370101088","NASDAQ"
"LXRX","LEXICON PHARMACEUTICALS INC","Equity","0.2912","14.73","1,365,721","$20,117,070","20,117,070.33","Health Care","BWFZX59","US5288723027","NASDAQ"
"ALDR","ALDER BIOPHARMACEUTICALS INC","Equity","0.2911","30.62","656,841","$20,112,471","20,112,471.42","Health Care","BLZHCS4","US0143391052","NASDAQ"
"ONCE","SPARK THERAPEUTICS INC","Equity","0.2751","53.30","356,505","$19,001,717","19,001,716.50","Health Care","BVGCLQ9","US84652J1034","NASDAQ"
"GWPH","GW PHARMACEUTICALS ADR REPRESENTIN","Equity","0.2661","91.14","201,689","$18,381,935","18,381,935.46","Health Care","B94RPL5","US36197T1034","NASDAQ"
"XLRN","ACCELERON PHARMA INC","Equity","0.2563","36.16","489,666","$17,706,323","17,706,322.56","Health Care","BDGTXQ8","US00434H1086","NASDAQ"
"MCRB","SERES THERAPEUTICS INC","Equity","0.2560","34.30","515,500","$17,681,650","17,681,650.00","Health Care","BYNQNP8","US81750R1023","NASDAQ"
"ACHN","ACHILLION PHARMACEUTICALS INC.","Equity","0.2508","9.61","1,803,032","$17,327,138","17,327,137.52","Health Care","B17T9T8","US00448Q2012","NASDAQ"
"INVA","INNOVIVA INC","Equity","0.2497","11.47","1,504,045","$17,251,396","17,251,396.15","Health Care","BDDXF67","US45781M1018","NASDAQ"
"ACOR","ACORDA THERAPEUTICS INC.","Equity","0.2434","27.93","602,081","$16,816,122","16,816,122.33","Health Care","2925844","US00484M1062","NASDAQ"
"DEPO","DEPOMED INC.","Equity","0.2401","20.63","803,869","$16,583,817","16,583,817.47","Health Care","2100179","US2499081048","NASDAQ"
"CXRX","CONCORDIA HEALTHCARE CORP","Equity","0.2367","24.34","671,687","$16,348,862","16,348,861.58","Health Care","BHM4VL6","CA2065191009","NASDAQ"
"INSY","INSYS THERAPEUTICS INC.","Equity","0.2314","16.95","942,990","$15,983,681","15,983,680.50","Health Care","B4QRG71","US45824V2097","NASDAQ"
"FPRX","FIVE PRIME THERAPEUTICS INC","Equity","0.2276","43.34","362,781","$15,722,929","15,722,928.54","Health Care","BDGTXL3","US33830X1046","NASDAQ"
"HALO","HALOZYME THERAPEUTICS INC.","Equity","0.2268","9.21","1,701,363","$15,669,553","15,669,553.23","Health Care","2975098","US40637H1095","NASDAQ"
"FGEN","FIBROGEN INC","Equity","0.2255","19.05","817,841","$15,579,871","15,579,871.05","Health Care","BSDRYR8","US31572Q8087","NASDAQ"
"SAGE","SAGE THERAPEUTICS INC","Equity","0.2139","34.94","422,913","$14,776,580","14,776,580.22","Health Care","BP4GNK9","US78667J1088","NASDAQ"
"TBPH","THERAVANCE BIOPHARMA INC","Equity","0.2102","23.54","616,961","$14,523,262","14,523,261.94","Health Care","BMNDK09","KYG8807B1068","NASDAQ"
"SUPN","SUPERNUS PHARMACEUTICALS INC","Equity","0.1838","19.61","647,466","$12,696,808","12,696,808.26","Health Care","B72ZBG4","US8684591089","NASDAQ"
"MGNX","MACROGENICS INC","Equity","0.1804","27.50","453,085","$12,459,838","12,459,837.50","Health Care","BFDV8K0","US5560991094","NASDAQ"
"CEMP","CEMPRA INC","Equity","0.1771","19.24","636,061","$12,237,814","12,237,813.64","Health Care","B73B6X3","US15130J1097","NASDAQ"
"LMNX","LUMINEX CORP","Equity","0.1723","20.86","570,496","$11,900,547","11,900,546.56","Health Care","2572109","US55027E1029","NASDAQ"
"SRPT","SAREPTA THERAPEUTICS INC","Equity","0.1698","19.44","603,349","$11,729,105","11,729,104.56","Health Care","B8DPDT7","US8036071004","NASDAQ"
"DERM","DERMIRA INC","Equity","0.1695","29.80","392,985","$11,710,953","11,710,953.00","Health Care","BQZJ3G0","US24983L1044","NASDAQ"
"GHDX","GENOMIC HEALTH INC.","Equity","0.1688","27.10","430,397","$11,663,759","11,663,758.70","Health Care","B0J2NP2","US37244C1018","NASDAQ"
"MACK","MERRIMACK PHARMACEUTICALS INC","Equity","0.1681","6.92","1,678,315","$11,613,940","11,613,939.80","Health Care","B72XX62","US5903281005","NASDAQ"
"FOLD","AMICUS THERAPEUTICS INC","Equity","0.1655","6.92","1,652,387","$11,434,518","11,434,518.04","Health Care","B19FQ48","US03152W1099","NASDAQ"
"MNTA","MOMENTA PHARMACEUTICALS INC.","Equity","0.1593","12.12","908,252","$11,008,014","11,008,014.24","Health Care","B018VB0","US60877T1007","NASDAQ"
"RLYP","RELYPSA INC","Equity","0.1579","19.18","568,696","$10,907,589","10,907,589.28","Health Care","BGCC6J6","US7595311066","NASDAQ"
"RGEN","REPLIGEN CORP.","Equity","0.1565","24.75","436,873","$10,812,607","10,812,606.75","Health Care","2731654","US7599161095","NASDAQ"
"INO","INOVIO PHARMACEUTICALS INC","Equity","0.1555","11.24","955,998","$10,745,418","10,745,417.52","Health Care","BN5H5K1","US45773H2013","NASDAQ"
"ADRO","ADURO BIOTECH INC","Equity","0.1520","12.66","829,508","$10,501,571","10,501,571.28","Health Care","BWTVW89","US00739L1017","NASDAQ"
"DBVT","DBV TECHNOLOGIES ADR REPRESENTING","Equity","0.1496","33.20","311,229","$10,332,803","10,332,802.80","Health Care","BRS66Y4","US23306J1016","NASDAQ"
"PACB","PACIFIC BIOSCIENCES OF CALIFORNIA","Equity","0.1478","9.65","1,058,344","$10,213,020","10,213,019.60","Health Care","B4N8MH9","US69404D1081","NASDAQ"
"AMAG","AMAG PHARMACEUTICALS INC.","Equity","0.1459","22.10","456,145","$10,080,805","10,080,804.50","Health Care","2008121","US00163U1060","NASDAQ"
"INSM","INSMED INC","Equity","0.1424","12.01","819,132","$9,837,775","9,837,775.32","Health Care","2614487","US4576693075","NASDAQ"
"SGYP","SYNERGY PHARMACEUTICALS INC","Equity","0.1407","4.11","2,365,376","$9,721,695","9,721,695.36","Health Care","B60WSC5","US8716393082","NASDAQ"
"EPZM","EPIZYME INC","Equity","0.1407","12.99","748,068","$9,717,403","9,717,403.32","Health Care","B9Z1QZ7","US29428V1044","NASDAQ"
"FMI","FOUNDATION MEDICINE INC","Equity","0.1405","21.48","451,890","$9,706,597","9,706,597.20","Health Care","BDX85T5","US3504651007","NASDAQ"
"AMPH","AMPHASTAR PHARMACEUTICALS INC","Equity","0.1387","16.21","590,931","$9,578,992","9,578,991.51","Health Care","BNFWZS4","US03209R1032","NASDAQ"
"CHRS","COHERUS BIOSCIENCES INC","Equity","0.1351","18.04","517,159","$9,329,548","9,329,548.36","Health Care","BRK0149","US19249H1032","NASDAQ"
"SCLN","SCICLONE PHARMACEUTICALS INC.","Equity","0.1307","13.94","647,922","$9,032,033","9,032,032.68","Health Care","2779579","US80862K1043","NASDAQ"
"RTRX","RETROPHIN INC","Equity","0.1263","18.22","479,029","$8,727,908","8,727,908.38","Health Care","B95XCC2","US7612991064","NASDAQ"
"EGRX","EAGLE PHARMACEUTICALS INC","Equity","0.1256","41.88","207,235","$8,679,002","8,679,001.80","Health Care","BJH7VB4","US2697961082","NASDAQ"
"ANIP","ANI PHARMACEUTICALS INC","Equity","0.1215","55.80","150,373","$8,390,813","8,390,813.40","Health Care","BCDWBX6","US00182C1036","NASDAQ"
"CLVS","CLOVIS ONCOLOGY INC.","Equity","0.1166","15.87","507,544","$8,054,723","8,054,723.28","Health Care","B6RS2B3","US1894641000","NASDAQ"
"XBIT","XBIOTECH INC","Equity","0.1164","19.08","421,544","$8,043,060","8,043,059.52","Health Care","BWD1LM2","CA98400H1029","NASDAQ"
"NK","NANTKWEST INC","Equity","0.1154","7.48","1,065,563","$7,970,411","7,970,411.24","Health Care","BYRH5B7","US63016Q1022","NASDAQ"
"ATRA","ATARA BIOTHERAPEUTICS INC","Equity","0.1125","20.73","375,056","$7,774,911","7,774,910.88","Health Care","BP4WT09","US0465131078","NASDAQ"
"CERS","CERUS CORP.","Equity","0.1121","6.08","1,273,152","$7,740,764","7,740,764.16","Health Care","2222471","US1570851014","NASDAQ"
"XNCR","XENCOR INC","Equity","0.1111","14.44","531,287","$7,671,784","7,671,784.28","Health Care","BGCYWN8","US98401F1057","NASDAQ"
"RVNC","REVANCE THERAPEUTICS INC","Equity","0.1062","19.90","368,538","$7,333,906","7,333,906.20","Health Care","BJFSR99","US7613301099","NASDAQ"
"BPMC","BLUEPRINT MEDICINES CORP","Equity","0.1059","20.61","354,974","$7,316,014","7,316,014.14","Health Care","BWY52P3","US09627Y1091","NASDAQ"
"PDLI","PDL BIOPHARMA INC.","Equity","0.1049","3.36","2,156,634","$7,246,290","7,246,290.24","Health Care","2706704","US69329Y1047","NASDAQ"
"SCMP","SUCAMPO PHARMACEUTICALS INC CLASS","Equity","0.1038","12.07","594,304","$7,173,249","7,173,249.28","Health Care","B1CH102","US8649091068","NASDAQ"
"AMRI","ALBANY MOLECULAR RESEARCH INC.","Equity","0.1014","15.06","465,083","$7,004,150","7,004,149.98","Health Care","2385471","US0124231095","NASDAQ"
"ARNA","ARENA PHARMACEUTICALS INC.","Equity","0.0990","2.15","3,182,040","$6,841,386","6,841,386.00","Health Care","2614443","US0400471027","NASDAQ"
"ARRY","ARRAY BIOPHARMA INC.","Equity","0.0984","3.62","1,877,719","$6,797,343","6,797,342.78","Health Care","2678654","US04269X1054","NASDAQ"
"AERI","AERIE PHARMACEUTICALS INC","Equity","0.0975","19.50","345,445","$6,736,178","6,736,177.50","Health Care","BFRTDG1","US00771V1089","NASDAQ"
"SGMO","SANGAMO BIOSCIENCES INC.","Equity","0.0931","6.98","921,851","$6,434,520","6,434,519.98","Health Care","2573083","US8006771062","NASDAQ"
"SPPI","SPECTRUM PHARMACEUTICALS INC.","Equity","0.0920","7.11","893,596","$6,353,468","6,353,467.56","Health Care","2982924","US84763A1088","NASDAQ"
"VNDA","VANDA PHARMACEUTICALS INC.","Equity","0.0915","11.20","564,662","$6,324,214","6,324,214.40","Health Care","B12W3P6","US9216591084","NASDAQ"
"RPTP","RAPTOR PHARMACEUTICAL CORP.","Equity","0.0909","5.62","1,116,877","$6,276,849","6,276,848.74","Health Care","B1FRLT8","US75382F1066","NASDAQ"
"SGNT","SAGENT PHARMACEUTICALS INC","Equity","0.0902","14.50","429,555","$6,228,548","6,228,547.50","Health Care","B687XN8","US7866921031","NASDAQ"
"OTIC","OTONOMY INC","Equity","0.0889","15.65","392,549","$6,143,392","6,143,391.85","Health Care","BPVNJF0","US68906L1052","NASDAQ"
"GERN","GERON CORP.","Equity","0.0885","2.95","2,072,867","$6,114,958","6,114,957.65","Health Care","2370381","US3741631036","NASDAQ"
"IMGN","IMMUNOGEN INC.","Equity","0.0884","5.35","1,141,763","$6,108,432","6,108,432.05","Health Care","2457864","US45253H1014","NASDAQ"
"CLDX","CELLDEX THERAPEUTICS INC","Equity","0.0884","4.72","1,293,270","$6,104,234","6,104,234.40","Health Care","2868444","US15117B1035","NASDAQ"
"ENTA","ENANTA PHARMACEUTICALS INC","Equity","0.0863","24.05","247,861","$5,961,057","5,961,057.05","Health Care","B9L5200","US29251M1062","NASDAQ"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.0849","1.00","5,864,054","$5,864,054","5,864,053.58","Cash and/or Derivatives","-","US0669224778","-"
"XNPT","XENOPORT INC.","Equity","0.0846","7.03","831,417","$5,844,862","5,844,861.51","Health Care","B081Q84","US98411C1009","NASDAQ"
"MNKD","MANNKIND CORP.","Equity","0.0845","1.03","5,666,662","$5,836,662","5,836,661.86","Health Care","B010TR8","US56400P2011","NASDAQ"
"FLML","FLAMEL TECHNOLOGIES S.A. ADS","Equity","0.0820","10.75","527,151","$5,666,873","5,666,873.25","Health Care","2351397","US3384881096","NASDAQ"
"OMER","OMEROS CORP","Equity","0.0820","11.02","513,873","$5,662,880","5,662,880.46","Health Care","B4NB858","US6821431029","NASDAQ"
"ESPR","ESPERION THERAPEUTICS INC","Equity","0.0771","18.03","295,212","$5,322,672","5,322,672.36","Health Care","BBNBTD2","US29664W1053","NASDAQ"
"AMRN","AMARIN ADR REPRESENTING PLC","Equity","0.0763","2.27","2,321,181","$5,269,081","5,269,080.87","Health Care","2301938","US0231112063","NASDAQ"
"COLL","COLLEGIUM PHARMACEUTICAL INC","Equity","0.0739","16.60","307,721","$5,108,169","5,108,168.60","Health Care","BX7RSN3","US19459J1043","NASDAQ"
"NDRM","NEURODERM LTD","Equity","0.0735","18.00","282,116","$5,078,088","5,078,088.00","Health Care","BSHZ401","IL0011334955","NASDAQ"
"LBIO","LION BIOTECHNOLOGIES INC","Equity","0.0727","8.01","626,646","$5,019,434","5,019,434.46","Health Care","BF5ZW19","US53619R1023","NASDAQ"
"TRVN","TREVENA INC","Equity","0.0717","7.44","665,339","$4,950,122","4,950,122.16","Health Care","BGDW0N7","US89532E1091","NASDAQ"
"ADMS","ADAMAS PHARMACEUTICALS INC","Equity","0.0702","17.29","280,439","$4,848,790","4,848,790.31","Health Care","BL25XY4","US00548A1060","NASDAQ"
"OMED","ONCOMED PHARMACEUTICALS INC","Equity","0.0701","12.27","394,533","$4,840,920","4,840,919.91","Health Care","BC9SJN4","US68234X1028","NASDAQ"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Equity","0.0693","6.08","787,279","$4,786,656","4,786,656.32","Health Care","BYQBFJ8","US04280A1007","NASDAQ"
"NLNK","NEWLINK GENETICS CORP.","Equity","0.0673","12.30","378,027","$4,649,732","4,649,732.10","Health Care","B4LHRV7","US6515111077","NASDAQ"
"TLGT","TELIGENT INC","Equity","0.0664","6.62","692,686","$4,585,581","4,585,581.32","Health Care","BYVJMJ6","US87960W1045","NASDAQ"
"IMMU","IMMUNOMEDICS INC.","Equity","0.0658","3.66","1,241,536","$4,544,022","4,544,021.76","Health Care","2457961","US4529071080","NASDAQ"
"BLCM","BELLICUM PHARMACEUTICALS INC","Equity","0.0654","13.01","347,228","$4,517,436","4,517,436.28","Health Care","BTF8LG4","US0794811077","NASDAQ"
"CGEN","COMPUGEN LTD.","Equity","0.0649","6.78","661,228","$4,483,126","4,483,125.84","Health Care","2620859","IL0010852080","NASDAQ"
"PGNX","PROGENICS PHARMACEUTICALS INC.","Equity","0.0648","4.89","914,690","$4,472,834","4,472,834.10","Health Care","2152501","US7431871067","NASDAQ"
"KPTI","KARYOPHARM THERAPEUTICS INC","Equity","0.0630","9.29","468,234","$4,349,894","4,349,893.86","Health Care","BG3FZW0","US48576U1060","NASDAQ"
"AKBA","AKEBIA THERAPEUTICS INC","Equity","0.0619","8.66","494,040","$4,278,386","4,278,386.40","Health Care","BKKMP44","US00972D1054","NASDAQ"
"VSAR","VERSARTIS INC","Equity","0.0614","11.02","384,845","$4,240,992","4,240,991.90","Health Care","BKRCP47","US92529L1026","NASDAQ"
"ARDX","ARDELYX INC","Equity","0.0603","9.19","453,141","$4,164,366","4,164,365.79","Health Care","BN89V40","US0396971071","NASDAQ"
"FLXN","FLEXION THERAPEUTICS INC","Equity","0.0576","14.10","282,269","$3,979,993","3,979,992.90","Health Care","BJ36RM8","US33938J1060","NASDAQ"
"CNCE","CONCERT PHARMACEUTICALS INC","Equity","0.0557","13.30","289,363","$3,848,528","3,848,527.90","Health Care","BJS9432","US2060221056","NASDAQ"
"AGTC","APPLIED GENETIC TECHNOLOGIES CORP","Equity","0.0550","16.08","236,282","$3,799,415","3,799,414.56","Health Care","BKRVPJ9","US03820J1007","NASDAQ"
"QURE","UNIQURE NV","Equity","0.0550","12.75","297,718","$3,795,905","3,795,904.50","Health Care","BJFSR88","NL0010696654","NASDAQ"
"VTAE","VITAE PHARMACEUTICALS INC","Equity","0.0549","10.31","368,072","$3,794,822","3,794,822.32","Health Care","BQS2TB3","US92847N1037","NASDAQ"
"BCRX","BIOCRYST PHARMACEUTICALS INC.","Equity","0.0542","3.88","965,065","$3,744,452","3,744,452.20","Health Care","2100362","US09058V1035","NASDAQ"
"RGLS","REGULUS THERAPEUTICS INC","Equity","0.0531","5.31","690,433","$3,666,199","3,666,199.23","Health Care","B7XB9Q7","US75915K1016","NASDAQ"
"INFI","INFINITY PHARMACEUTICALS INC.","Equity","0.0531","5.67","646,465","$3,665,457","3,665,456.55","Health Care","B1FCQS7","US45665G3039","NASDAQ"
"NSTG","NANOSTRING TECHNOLOGIES INC","Equity","0.0517","13.98","255,525","$3,572,240","3,572,239.50","Health Care","BBL59X6","US63009R1095","NASDAQ"
"PTCT","PTC THERAPEUTICS INC","Equity","0.0513","7.89","449,239","$3,544,496","3,544,495.71","Health Care","B17VCN9","US69366J2006","NASDAQ"
"PETX","ARATANA THERAPEUTICS INC","Equity","0.0492","7.40","458,963","$3,396,326","3,396,326.20","Health Care","BB97C02","US03874P1012","NASDAQ"
"ZGNX","ZOGENIX INC","Equity","0.0486","10.34","324,367","$3,353,955","3,353,954.78","Health Care","BYTJZL1","US98978L2043","NASDAQ"
"CRIS","CURIS INC.","Equity","0.0463","1.89","1,691,633","$3,197,186","3,197,186.37","Health Care","2615413","US2312691015","NASDAQ"
"VTL","VITAL THERAPIES INC","Equity","0.0462","8.00","398,572","$3,188,576","3,188,576.00","Health Care","BGDFRK2","US92847R1041","NASDAQ"
"CCXI","CHEMOCENTRYX INC","Equity","0.0461","5.50","578,779","$3,183,285","3,183,284.50","Health Care","B6ZL968","US16383L1061","NASDAQ"
"IMDZ","IMMUNE DESIGN CORP","Equity","0.0450","11.76","264,086","$3,105,651","3,105,651.36","Health Care","BP7RS37","US45252L1035","NASDAQ"
"ITEK","INOTEK PHARMACEUTICALS CORP","Equity","0.0447","8.92","346,346","$3,089,406","3,089,406.32","Health Care","BVJXZT0","US45780V1026","NASDAQ"
"CMRX","CHIMERIX INC.","Equity","0.0420","4.79","605,226","$2,899,033","2,899,032.54","Health Care","B8RLM49","US16934W1062","NASDAQ"
"FLKS","FLEX PHARMA INC","Equity","0.0415","12.21","235,046","$2,869,912","2,869,911.66","Health Care","BVGCLL4","US33938A1051","NASDAQ"
"RIGL","RIGEL PHARMACEUTICALS INC.","Equity","0.0415","2.47","1,159,918","$2,864,997","2,864,997.46","Health Care","2833936","US7665596034","NASDAQ"
"FOMX","FOAMIX PHARMACEUTICALS LTD","Equity","0.0411","7.09","400,342","$2,838,425","2,838,424.78","Health Care","BQRB1Q0","IL0011334385","NASDAQ"
"DRRX","DURECT CORP.","Equity","0.0357","1.39","1,772,126","$2,463,255","2,463,255.14","Health Care","2640835","US2666051048","NASDAQ"
"ZFGN","ZAFGEN INCINARY","Equity","0.0350","6.77","357,055","$2,417,262","2,417,262.35","Health Care","BN898D8","US98885E1038","NASDAQ"
"OVAS","OVASCIENCE INC","Equity","0.0350","6.75","358,009","$2,416,561","2,416,560.75","Health Care","B7N0T64","US69014Q1013","NASDAQ"
